,tweet_id,tweetText,polarity_value,polarity_type,topic,set
1105,ID:149431296496631809,El BOE soñado: http://t.co/xZdRMC2z Rajoy ya es Presidente,P,AGREEMENT,política,train
1106,ID:149431767093358593,Lo conozco!! Gracias.!! Gran Hernán!!RT @MikelUrmeneta: @buenafuente http://t.co/HevrrXAH,P,AGREEMENT,otros,train
1109,ID:149432527818473472,"@PabloAIglesias no se si mañana o pasado,jaja",P,AGREEMENT,otros,train
1110,ID:149439374713556992,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa ▸ Historias del día por @accioncine,P,AGREEMENT,otros,train
1111,ID:149444020454694912,El Círculo es parte de mi vida “@MarianHCL: Preparando la Presentación. Atendiendo llamadas de gente que quiere acudir al #CírculoLogroñes”,P,AGREEMENT,otros,train
1112,ID:149444327356121088,"Subvenciones públicas para decir cosas como esta? Esto es ""cultura""? http://t.co/JLGcwZjW",N,AGREEMENT,política,train
1113,ID:149445561353908224,En @lamojigatacafe tan rico todo!!!,P,AGREEMENT,otros,train
1118,ID:149473645817905152,Operación retirada de puntos de Víctor finalizada con éxito . (@ Clinica Galvez) http://t.co/2DiAHYqd,P,AGREEMENT,otros,train
1119,ID:149474253077622784,Hoy hemos ido a por el regalo de Anna! aquí os dejo el video! Feliz Navidad!! http://t.co/iv8wHQ8K,P,AGREEMENT,fútbol,train
1120,ID:149506575139225603,@mgilguerrero ¿Y cuánto tiempo tardará algún ministrable en cerrar su cuenta de Twitter cuando ya sea ministro?,N,AGREEMENT,política,train
1121,ID:149508484705161217,La preocupante deriva argentina contra la libertad y la democracia. Del periodismo militante al periodismo cómplice http://t.co/wT4tbPhz,N,AGREEMENT,política,train
1122,ID:149511807164366848,Cierto :-) RT @gemasanzs @EvaPiera_Madrid @IdiazAyuso @ihenriquezluna solo en torno a los mejores se crea un buen ambiente de trabajo,P,AGREEMENT,otros,train
1123,ID:149520042323738624,"""Que en 2012 por cada lágrima derramada suenen 2012 sonrisas ;)"" #razonesparacreer",P,DISAGREEMENT,entretenimiento,train
1124,ID:149539393907077121,"Edición especial de @hora25 con la composición del nuevo gobierno, a partir de las 19:20 y hasra las 20:00",P,AGREEMENT,política,train
1125,ID:149544369924485120,¿Conoce la doctrina del TC sobre libertad de expresión? Posada busca evitar fotos como la del móvil de Rubalcaba http://t.co/nG29JlK6,N,AGREEMENT,política,train
1126,ID:149544930820366336,"C. Martinez (alcalde de Soria): ""queremos implicar al ciudadano y al militante"" #muchoPSOEporhacer http://t.co/A2HToI4m",P,AGREEMENT,política,train
1128,ID:149549239465295873,"Salvo que en la próxima media hora cambie, Rajoy ha conseguido lo que nunca lograron Aznar ni Zapatero: que no se filtre su Gobierno",P,DISAGREEMENT,política,train
1132,ID:149556729657556993,Con Rajoy vuelve aquello de que el que se mueva en la foto no sale,N,AGREEMENT,política,train
1133,ID:149557182361387008,En la web de Moncloa no hay ni musiquilla ...,N,AGREEMENT,política,train
1135,ID:149562758604660736,Suscribo @MarAbad: @rafatamames Para mí no es negativo ser tertuliano. Era una observación. Y hay dos. De Guindos también hablaba en rne :),P,AGREEMENT,entretenimiento,train
1136,ID:149565438530027520,Ana Botella alcaldesa? de momento es TT....,N,AGREEMENT,entretenimiento,train
1137,ID:149565772648300545,"no lo dudo, al contrario “@MVegaFabian: Pues Víctor Gibello hace unas fotos estupendas y es del terruño”",P,AGREEMENT,otros,train
1138,ID:149568973296513025,"Y me encanta que Ana Mato de la que conozco su sensibilidad , este al frente de Asuntos Sociales ;-))",P,AGREEMENT,política,train
1143,ID:149583722734292992,Una anécdota del nuevo ministro de Exteriores: cuando enfadó a El Alcazar desde el despacho de Pilar Primo de Rivera http://t.co/v2t8g2ol,N,AGREEMENT,política,train
1145,ID:149605066859487234,Apuntes sobre el gobierno: tanto papanatismo mediático con el poder omnímodo de Rajoy para parir un ratón.Mucho ruido y pocas nueces,N,AGREEMENT,política,train
1146,ID:149605567181225985,Son bonos emitidos centralizadamente x el Tesoro europeo con el respaldo conjunto d todos los paises RT @Valentin_CV: @equilibrio_y_yo,P,AGREEMENT,política,train
1149,ID:149623532463210496,Buenas noches! Familia!!!;-),P,AGREEMENT,otros,train
1151,ID:149633085766504448,Conocí a García-Margallo hace unos tres años en Bruselas y me sorprendió su competencia y solvencia en materia de Economía. 1/2,P,AGREEMENT,economía,train
1152,ID:149633252439752704,"Me gusta la composición del Gobierno que ha presentado hoy     @MarianoRajoy , me gusta mucho.",P,AGREEMENT,política,train
1154,ID:149636453020876800,Gran cita RT @ccifuentes: Muy apropiada para hoy esta cita: Ningún gobierno es mejor que los hombres que lo integran. John Kennedy,P,AGREEMENT,política,train
1155,ID:149637074440568832,Me parece una persona decente.Parlmentario muchos años conmigo.Se le respeta en el P.E.,P,AGREEMENT,política,train
1156,ID:149640609840373760,"¿Habrá mañana ""momento Clos"" (ese desastroso ministro de Industria que prometió el cargo como ministro de Justicia)?",N,AGREEMENT,política,train
1157,ID:149645572113051649,"#gobierno premio merecido para Saenz de Santamaría;Margallo es eurodiputado respetado en Bruselas.Pastor,Mato,Bañez, fama buenas gestoras",P,AGREEMENT,política,train
1159,ID:149652713507008512,"Juan  Moscoso Proyecto, credibilidad y partido http://t.co/eoHZoxoY vía @el_pais",P,AGREEMENT,otros,train
1160,ID:149653680088563713,#GobiernoRajoy lo de sobradamente preparados es una ironía por la portada de @elmundoes. Cuanto peloteo de Pedro J. para hacerse perdonar,N,AGREEMENT,política,train
1161,ID:149658139065716736,Jajaja!! ,P,AGREEMENT,otros,train
1162,ID:149665832333623298,Que grande.. Ahora me volvia 20 años atras.. :P http://t.co/Z5koQuSV,P,AGREEMENT,otros,train
1164,ID:149766426079674368,Les deseo lo mejor a todos los nuevos ministros y al Gobierno en su conjunto.,P,AGREEMENT,política,train
1165,ID:149770211795537921,"Enhorabuena a @Intereconomia tv ayer 2% de share total! @Gato_directo impresionante 3,3% ! Cañas 2,2% y TD2 un 2,4%!!!!! Oeoeoeoeoeoeoe oe",P,AGREEMENT,entretenimiento,train
1166,ID:149770923879317504,Oeoeoeoeoeoeoe oe oe @Intereconomia y sus @TelediarioInter! Bien @LosadaPescador !!,P,AGREEMENT,entretenimiento,train
1171,ID:149799009467367424,Estepona lleva a los juzgados irregularidades detectadas en las subvenciones  http://t.co/mwNF5ttj,N,AGREEMENT,política,train
1173,ID:149801498325430272,Rajoy hizo un mix: juró sobre la Biblia y a la mitad cambió a la Constitución. Atentos al juego de manos http://t.co/DCkU5Dsi,N,AGREEMENT,política,train
1174,ID:149801984973737987,Algunos hablan de que ha desaparecido Cooperación Internacional...pero qué BOE han leído? SECRETARÍA DE ESTADO DE AAEE y COOPERACIÓN.,N,AGREEMENT,política,train
1175,ID:149808149120028672,"Eso si antes no voy yo a #Madrid;-)))  RT @ccifuentes: @mariviromero Por supuesto, en #Sevilla nos veremos :-)",P,AGREEMENT,otros,train
1176,ID:149813226241130496,"Soraya Saez de Santamaria dice que trabajara con ""esfuerzo, tesón, humildad, diálogo y moderación""",P,AGREEMENT,política,train
1177,ID:149823441313345536,Trabajando con Jorge en el nuevo guión. Nos conocemos desde los ocho años. http://t.co/OnTaLoF1,P,AGREEMENT,cine,train
1178,ID:149825732351238144,"Es un nombramiento bien merecido: Rajoy también premia al tercer miembro del ""tridente económico"" del PP http://t.co/Q6UMs8vP”",P,AGREEMENT,política,train
1179,ID:149832675094577152,"Cómpralo, no te arrepentirás, Nacho “@nachoberja: @pedroj_ramirez lo compro o no lo compro??? http://t.co/V9u7d7VN”",P,AGREEMENT,otros,train
1181,ID:149841084242083840,Tenemos 5 ministros ex gatotertulianos. vaya lujo! @Gato_directo @Intereconomia @gaceta_es Y vaya ojo!,P,AGREEMENT,política,train
1182,ID:149853962097524736,"Se acaban de aprobar los presupuestos de la Comunidad de Madrid. Unos presupuestos austeros, equilibrados y dinamizadores de la economía",P,DISAGREEMENT,economía,train
1183,ID:149854523077312513,De Guindos se estrena y  dice q los españoles hemos sabido tomar la   decisión acertada en el momento adecuado. Lo dirá por Rajoy o por él?,P,AGREEMENT,política,train
1184,ID:149864939056660480,Se retrasa el Pleno #AsambleaMadrid a las 16:30h,N,AGREEMENT,política,train
1185,ID:149869362545823746,"Jose Ignacio Wert ,desde hoy Ministro de educación, ha sido un articulista beligerante en la defensa del sistema electoral bipartidista.",N,AGREEMENT,política,train
1186,ID:149872237674115072,Una tesis sobre las crónicas de boxeo de Manuel Alcántara recupera el género http://t.co/HlgT7Vvf,P,AGREEMENT,literatura,train
1187,ID:149882740500742145,Felicidades a todas. Besos desde #Malaga RT @ccifuentes: Con algunas compañeras diputadas de la #AsambleaMadrid :-) http://t.co/bAUnjqjc,P,AGREEMENT,política,train
1189,ID:149888663722016768,"ays este Andrea!!! Andrea Casiraghi, sin carnet de conducir por correr demasiado http://t.co/asJeyFpc",N,AGREEMENT,otros,train
1190,ID:149896046959525889,Queremos que el Parlament repruebe al Conseller Mas-Colell por pisotear derechos laborales de trabajadores públicos http://t.co/0oHdLaF2,N,AGREEMENT,política,train
1191,ID:149898474647863296,"RT @lluvia_rojo: Gracias @JuanraLucas por la entrevista de ayer con
 @nobandforlluvia  Disfrutamos mucho. Gracias a vosotros. Besos",P,AGREEMENT,entretenimiento,train
1192,ID:149905243067531264,“@sgueina: “@metroscopia: Ocho de cada diez dará regalos el día de Reyes y seis en Nochebuena.” algunos lo han recibido unos dias antes,P,AGREEMENT,otros,train
1193,ID:149910903633088513,. @MarianoRajoy: He hecho un gobierno competente  http://t.co/Z2NNYg23 via @elmundoes,P,AGREEMENT,política,train
1195,ID:149924010719838209,Margallo recupera la Secretaría de Estado para Iberoamérica http://t.co/EMbOFpP2,P,AGREEMENT,política,train
1198,ID:149931694588305408,“@Magitorras: ¡Felicidades a @Edurnity! Pasa un feliz dia amor. Muaaaak”muchísimas gracias guapetón!! Muaksss,P,AGREEMENT,otros,train
1199,ID:149932121870434304,"¡¡¡Empezamos!!! No somos telesucesos, si quieres información con criterio, @TelediarioInter 20:30 es tu Telediario",P,AGREEMENT,entretenimiento,train
1200,ID:149932947057811456,En este sorteo están en juego 2 balones: uno firmado por el plantel de Argentina y otro por el de @MCFC. Anotarse en http://t.co/LrOITUEh,P,AGREEMENT,fútbol,train
1203,ID:149972440456507392,"Aqui, frente al Guggenheim, con un dolor de pies importante #esebotxo",N,AGREEMENT,otros,train
1205,ID:149972693821825024,"gracias reina mora! Un besazo lindura “@RaquelMartos: @PaulaVazquezTV Y enhorabuena, rubiaaaaaa por tu nueva aventura!!!! Guapa!”",P,AGREEMENT,entretenimiento,train
1206,ID:149975158763958273,Mucho ánimo para los compañeros de ADN,P,AGREEMENT,entretenimiento,train
1207,ID:149975337407758337,“@expansioncom: Repsol se alía con SandRidge para extraer gas no convencional en EEUU http://t.co/pXjOCYI3”,P,AGREEMENT,otros,train
1208,ID:149976060694507520,“@El_Plural: El PP usa el rodillo para volver a “exiliar” a Azaña y aparta su busto 24 días después de su inauguración http://t.co/Qw8sGZbJ”,N,AGREEMENT,política,train
1209,ID:149980246203043840,"Viendo al amiguete @danimartinezweb. Impresionante imitando a Eduardo Gómez, Flippy, Matías Prats, Shakira, Nadal... http://t.co/bmhYjKFY",P,AGREEMENT,entretenimiento,train
1210,ID:149991560803651584,"Muy buenas noches de paz, noches de amor followercetes! (sobre todo de amor;) http://t.co/SqHWikSF",P,AGREEMENT,otros,train
1211,ID:150007968337891328,"“Vivimos en 1mundo donde nos escondemos para hacer el amor,pero la violencia C practica a plena luz dL día#FelizdiadelOrgasmoGlobalPorlaPaz",N,AGREEMENT,otros,train
1212,ID:150010776592195585,Malas noticias: ADN cierra. Un abrazo para los compañeros de la redacción y mucha suerte.,N,DISAGREEMENT,entretenimiento,train
1213,ID:150018232139517952,"Gracias a @edurneclubfans por la felicitación, las flores y la tarta!!sois los mejores gracias por todo!!! Os quiero!!",P,AGREEMENT,música,train
1214,ID:150077371020615681,Se ha hecho el remolón...pero ha llegado y hasta suena bien:viernes 23 de diciembre!Hoy último programa de este 2011 de #losdesayunosdetve,P,AGREEMENT,entretenimiento,train
1216,ID:150127197309509632,EEUU invadió Iraq en busca de inexistentes armas de destrucción masiva y ahora sabemos que el arma de destrucción era el  ejército de EEUU.,N,AGREEMENT,política,train
1217,ID:150131759932112896,Un largo sueño de ciudad: http://t.co/2ryUB5KH,P,AGREEMENT,otros,train
1218,ID:150140235911675904,Igulmente #FF RT @javiercreanto: Queridos malageños felices fiestas! @Soastec @Blocdeesbozos @jakarrion @mariviromero,P,AGREEMENT,otros,train
1219,ID:150147784387997697,"Regala tu sonrisa a quien la merezco, tu amor a quien lo valore y tu vida a quien te ame. Feliz Navidad a todos ;-)) http://t.co/WZZvniQQ",P,AGREEMENT,otros,train
1221,ID:150159692746854401,"Rajoy ""no se fía"" y cree que Bildu no tiene que estar en instituciones si existe ETA http://t.co/QwO5tNeq vía @europapress_es",N,AGREEMENT,política,train
1222,ID:150160951356833792,"Vale, vale, un #FF para TODOS mis followercetes!!!",P,AGREEMENT,otros,train
1223,ID:150161423761276928,"¡Feliz Navidad, Ángeles de @davfernandez! @sanchez_sonia  @mtascon @Virginiapalonso @SIntxaurrondo",P,AGREEMENT,otros,train
1224,ID:150161971969396736,"Y mil #FF más para ella RT @fernandomorales: Mi #FF es único, exclusivo e intransferible para @sanchez_sonia por muchas cosas. #hedicho",P,AGREEMENT,otros,train
1225,ID:150164088155156480,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa,P,AGREEMENT,otros,train
1226,ID:150165809321349120,Gracias a ti ;-)) RT @EvenCon2Tacones: #FF @Gemmadelcorral @mariviromero gracias por el abrazo de ayer senti todo vuestro cariño GRACIAS,P,AGREEMENT,otros,train
1228,ID:150173299693985792,Consej Gob (4): proyect Decreto ayudas para incentivar la comercializac de product y servicios de Ext a través sociedades comercialización..,P,AGREEMENT,política,train
1229,ID:150174956687339521,Comienza la presión. Activistas antiaborto se manifiestan a la puerta de La Moncloa el día del primer consejo de @marianorajoy y @Sorayapp,N,AGREEMENT,política,train
1230,ID:150179308370014208,@CarmeChaparro Muchas gracias! Eres un sol!! :),P,AGREEMENT,otros,train
1231,ID:150179440297644033,Ahora Mas admite modular el REPAGO  con progresividad: Una medida injusta y REACCIONARIA no admite modulación.,N,AGREEMENT,política,train
1239,ID:150196450993774592,"Estará en Iberocio “@vanemzamora: claro que sí! los extremeños con La Copa Davis!!lástima qestoy en Badajoz si no,me acercaba a tocarla!!”",P,AGREEMENT,deportes,train
1240,ID:150196718506487809,"Hoy en Cartaya con las personas mayores. Nos merecen todo nuestro compromiso, cariño y respeto",P,AGREEMENT,otros,train
1241,ID:150196808784683008,Nombramientos esperados. Queque muchos pendientes y se darán durante el próximo Consejo,P,AGREEMENT,política,train
1243,ID:150198577593974784,El rábano no jajajaja (las prisas) el TRABAJO,P,AGREEMENT,política,train
1245,ID:150203470736142336,"Dada la aversión a las ruedas de prensa de Rajoy, Santamaría va a tener gran presencia para fijar la posición del Gobierno",N,DISAGREEMENT,política,train
1246,ID:150203589938257920,"Qué rule!@ConchaCLC:Haciéndome un esquema para saber quién está dónde en el #PSOE,entre tanto manifiesto,carta y respuesta.Ya me heperdido.",N,AGREEMENT,política,train
1247,ID:150207398886383617,"Oooooops! Sorry, García-Legaz, secretario de Estado de Comercio (no Turismo)",N,AGREEMENT,política,train
1248,ID:150208314259668992,¿Alguna familia necesita jueguetes? @universomartina tiene 12 para regalar.,P,AGREEMENT,otros,train
1250,ID:150214903922294784,"Paz, Amor y Esperanza. Mujeres y hombres y Telemadrid.",P,AGREEMENT,entretenimiento,train
1251,ID:150223485459890176,ELMUNDO.es acaba de lanzar su nueva tienda de ebooks. @elmundo.es: http://t.co/Nse2D68o,P,AGREEMENT,entretenimiento,train
1252,ID:150227280868806656,Veo que no se abre el link de la noticia del Ayto de BCN. Vuelvo. http://t.co/H4yZQfq8,N,AGREEMENT,política,train
1253,ID:150233769981386752,Yes!!@medi1226: @Berto_Romero @Buenafuente @ana_morgade @josecorbacho He regalo a mis padres entradas para el Terrat Pack. Hacedlo bien eh!”,P,AGREEMENT,entretenimiento,train
1254,ID:150236827641589760,Y el impagable segundo..:-) RT @Euclentejas @Tonicanto1 A ver  has llegado a la política  de UPy D para hacer el gi... http://t.co/w3WsngVq,P,AGREEMENT,política,train
1258,ID:150265395218092032,"La mayoría bien, pero hay unos cuantos, que como no pongas el ""je je je"", el simbolillo ;) o lo de ""mode ironía ON "", se pierden...",P,AGREEMENT,otros,train
1259,ID:150266487704268800,“@Maropopins5:jajaja creo que es peor este que vi yo  http://t.co/RnUhVGyb” Otro incunable ;),N,DISAGREEMENT,otros,train
1260,ID:150268400772464640,Tras 13 años magníficos en @informativost5 espero pasar otros tan buenos en @La_SER. Gracias ex compañeros y saludos a los nuevos :),P,AGREEMENT,entretenimiento,train
1261,ID:150275702355271683,@SalomeGa @sgueina esa es la idea. Eso Sería lo más sensato.,P,AGREEMENT,otros,train
1262,ID:150276814454005760,"En las casas sin chimenea Papá Noel entra por el microondas. No lo tiene fácil, no.",N,AGREEMENT,otros,train
1263,ID:150277328323354624,¿Qué opina Inma Castilla de Cortazar sobre el numerito de Bildu en la ETB? Estará con nosotros en el @TelediarioInter 20:30,N,AGREEMENT,política,train
1264,ID:150277542870388737,La Generalitat dice que no tiene dinero para pagar funcionarios. En el @TelediarioInter 20:30 les contamos para qué sí que tiene dinero.,N,AGREEMENT,política,train
1265,ID:150287550060302336,Te echaremos mucho de menos @sanchez_sonia . Has sido un ejemplo en @informativost5 Chica@s d @La_SER tratadla como se merece! Suerte!!!,P,AGREEMENT,entretenimiento,train
1266,ID:150294613926739971,http://t.co/CdLHLHEM aquí está el videocapítulo de Alzira. muchos besos.,P,AGREEMENT,otros,train
1267,ID:150297526891855872,No se sostiene que sigan negando que Rubalcaba y Chacon están tras manifiestos. Todo se precipitara. Apuesta: Rubalcaba da el paso el martes,N,AGREEMENT,política,train
1268,ID:150300323955748864,Aqui con @lya_cordoba preparando su nuevo disco.. ;),P,AGREEMENT,música,train
1270,ID:150317196634112000,Mi prima Marta ;-)) [pic] — http://t.co/a8hEmbwb,P,AGREEMENT,otros,train
1271,ID:150321185727578112,"Prensa seria ;-) RT ""@elperiodico_cas: Un bolígrafo que se tragó una mujer hace 25 años aún escribe http://t.co/2eQyGtj4""",P,AGREEMENT,entretenimiento,train
1272,ID:150330824804409344,"Si toda la felicidad que se desea en estos días se convirtiera en trabajo, toda la dignidad viviría en todos los hogares.",P,AGREEMENT,otros,train
1273,ID:150337860292198400,Y yo... RT @YaisaGordillo @aarbeloa17 sigo esperando el Twitter del Chori.,N,AGREEMENT,tecnología,train
1274,ID:150342195931652096,Sony inventa una batería que funciona con papel triturado http://t.co/Sp7iR0sF via @elmundoes,P,AGREEMENT,tecnología,train
1275,ID:150343863435919360,"El CNI pasa a vicepresidencia por la ""evolución"" de los servicios de inteligencia http://t.co/5jYhKWVa",P,AGREEMENT,política,train
1276,ID:150346019681476609,Igualmente ;-)) RT @ccifuentes: @mariviromero @antsaez Un beso enorme y #FelicesFiestas :-)),P,AGREEMENT,otros,train
1277,ID:150351815605620736,"""La nostalgia es como una droga te impide ver las cosas tal como son"" The Walking Dead",N,AGREEMENT,otros,train
1278,ID:150353308643639297,"""La nostalgia es como una droga. Te impide ver las cosas tal como son"" The Walking Dead",N,AGREEMENT,otros,train
1279,ID:150361104294481921,Asi es RT @LolaDulop: @mariviromero @elmundoes  Un pasito más para la igualdad de discapacidades.,P,AGREEMENT,otros,train
1280,ID:150361769691451392,"Un cocinero dice que meterle pasas y piñones es un error. El asunto no es ese, es que no se seque. #elpavoesmuysecorro",N,DISAGREEMENT,otros,train
1282,ID:150366048921722880,"Lo del Cerdo es más adelante. Mañana, el pavo. La ventaja es que ya está muerto.",P,AGREEMENT,otros,train
1283,ID:150366212344381440,"Todo va a acabar fatal, porque la gente no creo que siente ni a cenar.",N,AGREEMENT,otros,train
1284,ID:150373250025799680,"Es lo maravilloso de este nuevo medio de expresión. Twitter. Disfruten del momento, absurdo, esencial, frívolo... Real. #Twitternacion",P,AGREEMENT,tecnología,train
1285,ID:150508166252208128,RT @Charodona: @sevillajordi  injusto q ante la paridad se hable de la mujer no preparada y q al hombre se le suponga siempre preparación,N,AGREEMENT,política,train
1286,ID:150513087949180929,"A todos, de todos los colores, de todas las ideologías, de todas las razas y religiones. A todos: FELIZ NAVIDAD.http://bit.ly/f5ssc6",P,AGREEMENT,otros,train
1287,ID:150515922258493441,Hecho! RT @ifilosofia: Quiero hacer un regalo de Navidad a @MSF_espana (Médicos sin fronteras ) ¡Alcanzar 100.000 followers ! ¿Me ayudan?,P,AGREEMENT,otros,train
1289,ID:150522802166960129,"@Bsarasola01 Muchísimas gracias Borja, un beso enorme y #FelicesFiestas :-))",P,AGREEMENT,otros,train
1290,ID:150524454441721856,La mejor forma de garantizar la seguridad de nuestras tropas en el exterior es no enviarlas donde nadie nos llama. Retirada de Afganistán!,N,AGREEMENT,política,train
1291,ID:150527414907314176,Me ponen nervioso los que en los partidos benéficos se traen las espinilleras de casa...,N,AGREEMENT,deportes,train
1294,ID:150545283166646274,"32.010 familias desahuciadas de la vivienda el primer semestre de 2011. La mayoría, sin empleo, no pudieron pagar l hipoteca. ¿justicia?",N,DISAGREEMENT,economía,train
1296,ID:150561985220710400,Antes de hacer #Twitteroff os deseo que paséis una Feliz Nochebuena y una estupenda Navidad. Que seáis felices... Y comáis perdices :-),P,AGREEMENT,otros,train
1297,ID:150563390887174145,"El partido era para recaudar fondos para los afectados de fibrosis quistica, no se retransmitía que yo sepa...",P,AGREEMENT,fútbol,train
1298,ID:150587615324807169,"Aquí esta la primera felicitación de Víctor, diseñada y elaborada por el mismo, Ipad en mano ;-))  http://t.co/noDhPgCs",P,AGREEMENT,tecnología,train
1300,ID:150625026155089920,Feliz Navidad a todos los amigos del pajarito. http://t.co/oBOVtSUa,P,AGREEMENT,otros,train
1301,ID:150633982483107843,"Feliz Navidad. Gracias por encontrarnos  aquí. Sé que no siempre acerté , pero te puedo asegurar que siempre lo intenté. Y nunca me escondí.",P,DISAGREEMENT,otros,train
1302,ID:150639174037422080,@sanchez_sonia felicidades por tu nuevo trabajo.  Feliz 2012,P,AGREEMENT,otros,train
1303,ID:150639868295385089,Recuerdo especial esta noche a quienes la pasaran separados de los suyos  cuidando por nuestra seguridad y bienestar. Gracias.,P,AGREEMENT,otros,train
1304,ID:150645747925258240,Felices fiestas a todos y al que sea de Papá Noel que le traiga muchas cosas y el que sea de los Reyes que se espere. Besos y abrazos,P,AGREEMENT,otros,train
1307,ID:150661496630808576,"Les encantará, cuéntame“@Pedrodco: Deseando ver la cara de mi familia cuando vean mi regalo de navidad""EPN"" @pedroj_ramirez”",P,AGREEMENT,otros,train
1311,ID:150677823445667841,Feliz noche a todos y feliz Navidad.,P,AGREEMENT,otros,train
1312,ID:150714673770147840,@PabloAIglesias nosotros nos hemos quedado en 22 pero con el mismo fin.Feliz Navidad!,P,AGREEMENT,otros,train
1315,ID:150821976481607681,@Cepeda feliz Navidad,P,AGREEMENT,otros,train
1316,ID:150851861736464384,Igualmente ;-))) RT @moliyflop: @mariviromero feliz Navidad marivi #muchassonrisaslindas,P,AGREEMENT,otros,train
1317,ID:150860261203513344,"Con mis hermanas @carmenromerop y Angela , anoche ;-))  http://t.co/bOmq6o8t",P,AGREEMENT,otros,train
1318,ID:150887755315023872,"B. Días. Importante discurso del Rey. Ejemplaridad, ética e igualdad de todos ante la ley. http://t.co/dDbAsz8Y",P,AGREEMENT,política,train
1319,ID:150888874091085824,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa,P,AGREEMENT,otros,train
1320,ID:150891051941498880,"""Feliz Navidad"" Hoy de paseo con la famili! Anoche fue genial, risas, villancicos, regalos... me acabo de despertar #notedigonaytelodigoto",P,AGREEMENT,otros,train
1321,ID:150919173772554240,Que fuerte RT @europapress_es: Un atentado en una iglesia nigeriana durante la misa de Navidad deja 19 muertos - http://t.co/rn7FFjyF,N,AGREEMENT,otros,train
1322,ID:150921158965993473,Amigos os escribo para felicitaros la navidad!!!feliz navidad!!!!!,P,AGREEMENT,otros,train
1323,ID:150985622566354944,http://t.co/xbwQuVCK Todo esta en los pequeños detalles y nuevas experiencias./ Its all (cont) http://t.co/QurPvNtL,P,AGREEMENT,música,train
1327,ID:151030382328946688,Un puñado de antiabortistas  emplazaron al gobierno Rajoy ante la Moncloa. La enseñanza es: Para  resistir o exigir el que no llora no mama,N,AGREEMENT,política,train
1328,ID:151033233771995136,Os dejo con el inimitable James Brown y sus movimientos (fijaos en el trompeta que está a su espalda) Sex Machine.http://bit.ly/bvMT8P,P,AGREEMENT,música,train
1329,ID:151036409837387776,A quien no le guste que no lo vea!!!!!,N,AGREEMENT,otros,train
1330,ID:151044140405243904,"No se han cometido ""errores individuales o colectivos"". Ha sido un saqueo de recursos privados y públicos para enriquecimiento de algunos.",N,AGREEMENT,política,train
1331,ID:151044554135572480,"En estas fechas tan señaladas, apuntar con el dedo sigue estando muy feo. #MouMouMou",N,AGREEMENT,otros,train
1332,ID:151063945069862912,Nada mejor que pasar la navidad con la familia y amigos. Y uds como la pasaron?,P,AGREEMENT,otros,train
1333,ID:151069949530607616,“@Sandrasevillana: @David_Busta Estarian bien unas buenas noches de las tuyas... hoy las necesitoo te adoroo mi cieloo!!!”BUENAS NOCHES?,P,AGREEMENT,otros,train
1334,ID:151072188018081792,"“@tonicosta4: @David_Busta daviiiiid!!!! Feliz navidad amigo, un fuerte abrazooooo!!!!”IGUALMENTE!!!;-)",P,AGREEMENT,otros,train
1336,ID:151078004792111106,"Buenas noches familia! Os deseo siempre lo mejor,y siempre daré gracias por  el regalo que es teneros a vosotros a mi lado!!! Os quiero!!!",P,AGREEMENT,otros,train
1337,ID:151088908040548352,"RT @karlabenitez111: @paurubio hoooomg santa no me trajo nada.. Snif,snif:’( por portarte mal ho  ho ho",N,AGREEMENT,otros,train
1338,ID:151094695638999040,"Muy buenas noches followercetes!Mañana a las 15:30 aprox, el link para apuntarse a la #merendolatuitera (quedada friki sin pretensiones ;)",P,AGREEMENT,otros,train
1341,ID:151236196348080129,"#ZP: ""He salido sin tener ningún sentimiento negativo hacia nadie ni hacia nada"" http://t.co/oDNHNBKR",P,AGREEMENT,política,train
1342,ID:151241072624926720,"RT @90mn90d: Ya nos sigues, nos haces RT si puedes DONA es tan fácil como unos cuantos click. Opciones: http://t.co/jEkpGdnU ayuda #cuer ...",P,AGREEMENT,otros,train
1343,ID:151252262948323328,Esto es para los gilipollas del que me dices!!!!!! Xq es del antiguo inquilino imbeciles!!!!,N,AGREEMENT,entretenimiento,train
1344,ID:151265998824144896,"Resacas navideñas: no se donde hay mas azúcar, en los postres de estos días o en los análisis sobre el nuevo gobierno ? Que atracón",N,AGREEMENT,política,train
1345,ID:151288699768934401,Apple trabaja en baterías para teléfonos móviles inteligentes que durarán semanas http://t.co/lBa8tPu5,P,AGREEMENT,tecnología,train
1346,ID:151300773429526529,"Por lo que contáis, accidente N-V Móstoles dir Madrid. Media hora para 1 km... Y lo que queda... Feliz Navidad",N,AGREEMENT,otros,train
1347,ID:151300885169975296,"Luis de Guindos confirma que España volverá a entrar en recesión. Prefiero la verdad, por dura que sea, a que nos mientan con #Brotesverdes",N,DISAGREEMENT,economía,train
1348,ID:151328861441896448,"La merienda será ""simbólica"", o sea nada de atracones, pero nos veremos las caras y echaremos unas risas (espero)",P,AGREEMENT,otros,train
1349,ID:151331264488681473,"A los que os habéis quedado sin entrada, lo siento mucho, no sabia que había tanto interés (sobre todo porque es una quedada chorra)...",N,AGREEMENT,otros,train
